event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,defenders_cone,one_touch,is_header,phase_type,goal
8_295,2011166,21290,-40.9,14.94,94.587,0.0764,1,102.72,1,0,0,quick_break,0
8_306,2011166,22054,-40.45,-6.27,93.161,0.0784,2,100.68,0,0,0,finish,0
8_307,2011166,22473,-40.63,-13.64,94.124,0.0769,1,103.51,0,1,0,set_play,0
8_318,2011166,23401,-40.95,-0.33,93.451,0.0783,2,100.06,1,0,0,finish,0
8_319,2011166,23451,-48.29,-7.84,101.094,0.0722,1,101.71,2,0,0,finish,0
8_329,2011166,24208,-33.7,-13.09,87.188,0.083,1,102.47,1,1,0,finish,0
8_386,2011166,29851,-57.02,-34.36,114.783,0.0608,0,103.76,0,1,1,set_play,1
8_398,2011166,31199,-42.92,10.67,96.015,0.0757,1,102.69,0,0,0,set_play,0
8_412,2011166,41926,-34.37,-12.41,87.752,0.0825,2,102.85,1,0,0,finish,0
8_426,2011166,42288,-40.88,-12.3,94.187,0.077,1,102.65,0,0,0,quick_break,0
8_460,2011166,43836,-36.62,-3.31,89.181,0.082,1,100.9,0,0,0,transition,1
8_47,2011166,4156,-45.19,-9.78,98.178,0.0742,1,102.18,3,0,0,finish,1
8_475,2011166,45480,-33.44,3.88,86.028,0.085,2,102.36,0,0,0,finish,0
8_511,2011166,49712,-38.55,-3.61,91.122,0.0802,3,102.52,1,0,0,finish,0
8_540,2011166,51371,-41.86,-15.43,95.613,0.0755,0,105.49,0,1,0,set_play,0
8_554,2011166,52015,-36.58,9.62,89.598,0.0812,1,101.61,0,1,1,finish,0
8_58,2011166,5146,-34.13,6.86,86.901,0.0839,1,103.04,1,1,0,finish,0
8_592,2011166,54939,-36.69,14.36,90.339,0.08,1,103.01,1,0,0,finish,0
8_619,2011166,57379,-28.9,6.72,81.677,0.0893,1,101.96,0,1,0,finish,0
8_62,2011166,5275,-42.57,3.45,95.133,0.0769,0,102.02,0,1,0,transition,0
8_643,2011166,58663,-33.95,7.21,86.75,0.084,0,102.9,0,1,0,transition,1
8_66,2011166,5429,-39.38,-5.99,92.075,0.0793,1,103.49,1,0,0,finish,0
8_689,2011166,63079,-35.83,19.64,90.487,0.0789,0,103.03,1,0,0,set_play,0
8_735,2011166,65634,-37.43,9.16,90.395,0.0805,0,102.83,0,1,0,finish,0
8_749,2011166,67128,-44.22,3.68,96.79,0.0755,4,104.15,2,1,1,set_play,0
8_756,2011166,67667,-48.95,-6.85,101.681,0.0718,1,103.66,1,1,1,finish,0
8_155,2013725,11999,-29.67,16.15,83.742,0.0857,1,102.43,0,0,0,transition,0
8_176,2013725,13729,-49.51,-2.7,102.046,0.0717,2,104.83,2,1,1,set_play,0
8_181,2013725,14234,-25.6,-10.24,78.768,0.0921,1,100.63,1,0,0,finish,0
8_198,2013725,15716,-42.09,-12.02,95.351,0.0761,1,102.64,1,0,0,set_play,0
8_307,2013725,21697,-30.59,-10.78,83.786,0.0866,0,103.88,0,1,0,finish,0
8_337,2013725,22515,-51.41,4.2,103.995,0.0703,1,104.29,2,1,1,finish,0
8_356,2013725,23907,-49.64,-13.78,103.065,0.0704,1,98.02,1,0,0,finish,0
8_411,2013725,26316,-28.49,0.33,80.991,0.0903,1,102.58,0,0,0,quick_break,0
8_424,2013725,27109,-36.01,-12.15,89.34,0.0811,1,103.04,0,0,0,transition,0
8_438,2013725,28523,-31.87,-10.65,85.04,0.0854,1,103.55,2,0,0,quick_break,0
8_54,2013725,6379,-49.58,4.68,102.187,0.0715,0,104.27,0,1,0,transition,1
8_547,2013725,43944,-37.43,7.84,90.271,0.0807,0,102.75,1,1,0,quick_break,0
8_555,2013725,44689,-32.73,11.18,85.96,0.0844,3,101.98,0,0,0,transition,0
8_649,2013725,50606,-35.78,-2.55,88.317,0.0828,2,103.96,0,1,0,set_play,0
8_664,2013725,51925,-42.05,-7.68,94.861,0.0769,1,103.02,1,0,0,quick_break,0
8_665,2013725,52387,-50.78,-5.06,103.404,0.0707,2,104.34,3,1,1,set_play,0
8_725,2013725,54916,-28.91,1.52,81.424,0.0898,0,102.87,0,1,0,finish,0
8_771,2013725,56744,-32.29,-4.11,84.89,0.0861,1,102.78,0,0,0,finish,0
8_788,2013725,57447,-37.97,-10.84,91.117,0.0797,3,102.35,1,0,0,finish,0
8_867,2013725,61722,-44.42,-3.7,96.991,0.0754,1,104.49,0,1,1,set_play,0
8_886,2013725,62456,-35.96,7.62,88.788,0.0821,0,101.98,0,0,0,transition,0
8_888,2013725,62552,-29.15,10.15,82.278,0.0882,0,103.19,0,0,0,quick_break,0
8_893,2013725,63112,-38.47,8.08,91.328,0.0798,1,102.48,0,1,0,finish,0
8_938,2013725,66663,-52.5,-1.72,105.014,0.0697,0,104.67,1,1,1,set_play,0
8_950,2013725,67293,-34.18,-2.79,86.725,0.0843,1,103.72,0,0,0,finish,0
8_222,2015213,12915,-44.67,3.83,97.245,0.0752,3,102.38,1,0,0,quick_break,1
8_257,2015213,15183,-28.51,8.15,81.419,0.0894,1,102.33,1,0,0,finish,0
8_258,2015213,15561,-48.93,6.44,101.634,0.0718,1,103.11,0,1,1,set_play,1
8_285,2015213,18109,-48.84,-11.63,102.005,0.0713,1,104.2,1,1,1,finish,0
8_382,2015213,23431,-35.03,16.19,89.015,0.0808,2,103.14,0,0,0,finish,0
8_424,2015213,24753,-40.06,14.01,93.614,0.0773,1,103.23,0,0,0,finish,0
8_528,2015213,41032,-31.18,-3.33,83.746,0.0873,1,103.35,0,1,0,finish,0
8_555,2015213,42648,-44.45,-6.5,97.168,0.0751,0,102.34,1,1,0,quick_break,1
8_569,2015213,43762,-27.56,-12.42,81.018,0.0892,1,101.64,1,0,0,finish,0
8_586,2015213,44413,-47.9,4.78,100.514,0.0727,0,103.35,1,0,0,finish,0
8_635,2015213,48015,-34.73,11.21,87.947,0.0825,3,102.86,1,0,0,transition,0
8_656,2015213,49916,-37.76,1.69,90.276,0.081,2,104.23,0,1,0,set_play,0
8_657,2015213,49936,-47.68,2.57,100.213,0.073,4,103.38,2,0,0,set_play,0
8_659,2015213,50292,-44.92,19.37,99.327,0.0723,1,104.48,1,1,0,set_play,1
8_670,2015213,52222,-47.25,-4.35,99.845,0.0732,2,104.06,1,1,1,set_play,0
8_713,2015213,54479,-32.4,-8.57,85.331,0.0853,2,103.22,1,0,0,finish,0
8_808,2015213,62526,-39.92,4.13,92.512,0.079,1,103.24,1,1,0,transition,0
8_853,2015213,65303,-39.97,-10.11,93.021,0.0782,1,102.68,0,0,0,quick_break,0
8_854,2015213,65724,-43.4,-3.0,95.947,0.0762,1,104.51,0,1,1,set_play,0
8_855,2015213,65739,-44.42,-3.93,97.0,0.0754,1,104.1,1,1,0,set_play,0
8_914,2015213,69608,-42.42,-0.87,94.924,0.0771,2,84.79,0,0,0,transition,1
8_923,2015213,70607,-52.07,1.84,104.586,0.07,1,103.16,1,1,0,finish,1
8_105,2017461,7069,-39.2,-13.66,92.712,0.0781,0,103.0,0,0,0,finish,0
8_128,2017461,9335,-25.74,-14.35,79.545,0.0905,1,102.69,0,0,0,finish,0
8_207,2017461,12878,-37.92,-15.25,91.697,0.0787,1,103.05,0,0,0,set_play,0
8_208,2017461,12896,-35.61,-8.88,88.556,0.0822,1,102.66,0,1,0,set_play,0
8_209,2017461,12926,-32.88,4.58,85.503,0.0854,1,102.52,0,1,0,set_play,0
8_211,2017461,13075,-41.7,-11.02,94.842,0.0766,2,103.06,0,0,0,transition,0
8_219,2017461,13928,-29.45,5.75,82.151,0.0888,1,102.41,0,0,0,finish,0
8_279,2017461,20039,-40.32,10.18,93.377,0.0779,2,102.21,0,1,1,set_play,0
8_281,2017461,20246,-27.92,7.57,80.775,0.0902,1,101.47,0,0,0,quick_break,0
8_285,2017461,20364,-42.38,-13.48,95.833,0.0756,0,103.42,0,1,0,quick_break,0
8_344,2017461,24286,-41.33,-8.15,94.183,0.0774,1,103.18,0,1,0,transition,0
8_346,2017461,24329,-32.85,-7.19,85.652,0.0851,0,103.27,1,1,0,finish,0
8_401,2017461,28509,-35.78,3.07,88.333,0.0828,2,103.74,0,0,0,finish,0
8_459,2017461,41674,-40.81,-6.33,93.524,0.078,2,101.81,1,0,0,transition,0
8_473,2017461,43897,-49.58,4.98,102.201,0.0715,2,104.35,2,1,1,set_play,0
8_518,2017461,47798,-35.74,-8.1,88.611,0.0822,1,102.57,0,0,0,finish,0
8_553,2017461,50932,-49.77,-0.55,102.271,0.0715,2,104.49,2,1,1,finish,1
8_569,2017461,52565,-45.1,-12.21,98.361,0.0738,0,103.09,1,0,0,quick_break,0
8_663,2017461,58416,-38.86,16.51,92.84,0.0776,1,103.32,1,0,0,transition,0
8_683,2017461,59368,-28.1,4.72,80.738,0.0904,1,102.17,0,0,0,quick_break,0
8_826,2017461,69501,-37.08,6.75,89.834,0.0812,1,99.29,0,0,0,transition,0
8_838,2017461,69858,-36.32,-12.12,89.643,0.0809,1,103.12,0,1,0,finish,0
8_89,2017461,6627,-36.09,-10.16,89.171,0.0815,1,103.06,0,1,0,finish,0
