event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,gk_angle_blocked,defenders_cone,one_touch,is_header,phase_type,goal
8_295,2011166,21290,40.9,14.94,18.915,0.2418,1,2.28,0.276864353176209,0,0,0,quick_break,0
8_306,2011166,22054,40.45,-6.27,13.584,0.4759,2,4.32,0.2416474188563799,0,0,0,finish,0
8_307,2011166,22473,40.63,-13.64,18.082,0.2703,1,1.49,0.23631714207472784,2,1,0,set_play,0
8_318,2011166,23401,40.95,-0.33,11.555,0.6133,2,4.94,0.2461849698391943,0,0,0,finish,0
8_319,2011166,23451,48.29,-7.84,8.899,0.438,1,3.29,0.7795913925036472,0,0,0,finish,0
8_329,2011166,24208,33.7,-13.09,22.908,0.2629,1,2.53,0.1852076036133154,1,1,0,finish,0
8_386,2011166,29851,57.02,-34.36,34.656,0.0279,0,1.24,1.0,0,1,1,set_play,1
8_398,2011166,31199,42.92,10.67,14.34,0.3498,1,2.31,0.2727339932268417,0,0,0,set_play,0
8_412,2011166,41926,34.37,-12.41,21.971,0.2756,2,2.15,0.18738420375381185,2,0,0,finish,0
8_426,2011166,42288,40.88,-12.3,16.921,0.3021,1,2.35,0.2500549700020936,1,0,0,quick_break,0
8_460,2011166,43836,36.62,-3.31,16.221,0.4356,1,4.1,0.1912929217322722,1,0,0,transition,1
8_47,2011166,4156,45.19,-9.78,12.21,0.3756,1,2.82,0.3528373122596821,1,0,0,finish,1
8_475,2011166,45480,33.44,3.88,19.451,0.3652,2,2.64,0.1640153000487501,1,0,0,finish,0
8_511,2011166,49712,38.55,-3.61,14.41,0.484,3,2.48,0.17573089598077704,1,0,0,finish,0
8_540,2011166,51371,41.86,-15.43,18.743,0.2265,0,0.49,0.27498931250845826,0,1,0,set_play,0
8_554,2011166,52015,36.58,9.62,18.601,0.337,1,3.39,0.19988385710770804,0,1,1,finish,0
8_58,2011166,5146,34.13,6.86,19.609,0.3476,1,1.96,0.16530105632822134,0,1,0,finish,0
8_592,2011166,54939,36.69,14.36,21.358,0.2557,1,1.99,0.2112954665152562,1,0,0,finish,0
8_619,2011166,57379,28.9,6.72,24.538,0.2854,1,3.04,0.1642445915392546,0,1,0,finish,0
8_62,2011166,5275,42.57,3.45,10.512,0.6425,0,2.98,0.20902376256711672,1,1,0,transition,0
8_643,2011166,58663,33.95,7.21,19.902,0.341,0,2.1,0.1686070078353447,0,1,0,transition,1
8_66,2011166,5429,39.38,-5.99,14.423,0.4584,1,1.51,0.17301781029445115,1,0,0,finish,0
8_689,2011166,63079,35.83,19.64,25.761,0.1855,0,1.97,0.2386916693195556,0,0,0,set_play,0
8_735,2011166,65634,37.43,9.16,17.635,0.355,0,2.17,0.18764778983352698,1,1,0,finish,0
